Gene_ID	Gene_name	FC_by_DESeq2	FC_by_EdgeR	ratio_of_FC values	p-adj_by_DESeq2	p-adj_by_EdgeR	biological functions
ENSG00000163734.4	CXCL3	10.3618142817161	10.2357584901756	1.0123152369862467	0.0018275674665681	1.50905317817738e-10	chemotaxis, immune response, defense response, response to external stimulus, inflammatory response, neutrophil chemotaxis, chemokine-mediated signaling pathway, antimicrobial humoral immune response mediated by antimicrobial peptide
ENSG00000163739.5	CXCL1	45.2925962814534	39.6707394217469	1.1417129335538596	0.000107617839692336	6.25846342211069e-22	chemotaxis, immune response, defense response, response to external stimulus, inflammatory response, nervous system development, G protein-coupled receptor signaling pathway, signal transduction, neutrophil chemotaxis, chemokine-mediated signaling pathway, intracellular signal transduction, negative regulation of cell population proliferation, antimicrobial humoral immune response mediated by antimicrobial peptide, cellular response to lipopolysaccharide
ENSG00000169429.12	CXCL8	54.1766416142292	50.1762529243648	1.079726732402568	5.83898008220763e-08	2.74406166086219e-41	chemotaxis, immune response, defense response, signal transduction, response to external stimulus, inflammatory response, cell chemotaxis, negative regulation of gene expression, intracellular signal transduction, regulation of cell adhesion, angiogenesis, neutrophil chemotaxis, response to endoplasmic reticulum stress, receptor internalization, cellular response to interleukin-1, cellular response to tumor necrosis factor, G protein-coupled receptor signaling pathway, chemokine-mediated signaling pathway, positive regulation of gene expression, cellular response to lipopolysaccharide, positive regulation of neutrophil chemotaxis, negative regulation of cell population proliferation, antimicrobial humoral immune response mediated by antimicrobial peptide, cellular response to fibroblast growth factor stimulus, calcium-mediated signaling, negative regulation of G protein-coupled receptor signaling pathway, induction of positive chemotaxis, embryonic digestive tract development, neutrophil activation, positive regulation of angiogenesis, positive regulation of cellular biosynthetic process, negative regulation of cell adhesion molecule production, response to molecule of bacterial origin, regulation of single stranded viral RNA replication via double stranded DNA intermediate
ENSG00000173432.13	SAA1	15.6567561097112	16.0405343815604	0.9760744709172298	8.48793085522244e-15	7.69949550962277e-54	acute-phase response, platelet activation, neutrophil chemotaxis, negative regulation of inflammatory response, positive regulation of cytokine production, positive regulation of cell adhesion, positive regulation of cytosolic calcium ion concentration, regulation of protein secretion, positive regulation of interleukin-1 production, macrophage chemotaxis
ENSG00000183598.4	H3C13	0.108147510101604	0.113987251370548	0.9487684701689993	1.88698615826515e-16	2.95964423515494e-43	Unknown
ENSG00000196747.5	H2AC13	0.11640038618179	0.122175894440439	0.9527279232527773	6.62196027349854e-41	9.9268825823714e-104	Unknown
ENSG00000196787.4	H2AC11	0.104867227363882	0.110008389925695	0.9532657230481639	6.16840722530785e-66	3.32868812660227e-175	Unknown
ENSG00000197614.11	MFAP5	8.82647173436925	9.09480171883961	0.9704963348552698	1.47854750647295e-09	1.19194424066798e-31	definitive hemopoiesis, embryonic eye morphogenesis
ENSG00000198959.12	TGM2	9.14136822448594	9.41291980735726	0.9711511849214872	1.20016364675474e-09	6.52071791207076e-32	peptide cross-linking, chromatin remodeling, proteolysis, positive regulation of neurogenesis, bone development, gene expression, regulation of apoptotic process, positive regulation of GTPase activity, positive regulation of apoptotic process, positive regulation of cell adhesion, dopamine secretion, apoptotic cell clearance, phospholipase C-activating G protein-coupled receptor signaling pathway, protein deamination, negative regulation of endoplasmic reticulum calcium ion concentration, positive regulation of small GTPase mediated signal transduction, positive regulation of mitochondrial calcium ion concentration, branching involved in salivary gland morphogenesis, salivary gland cavitation, cellular response to cocaine, cellular response to dopamine, cellular response to serotonin
ENSG00000199347.1	RNU5E-1	0.00913763520382736	0.00602261355315268	1.517220908029878	0.00190436040328793	2.34388191045129e-08	spliceosomal tri-snRNP complex assembly
ENSG00000199568.1	RNU5A-1	0.00418495107270361	0.00276939901438229	1.5111405221746481	1.87695048962422e-07	5.3441960385135e-27	spliceosomal tri-snRNP complex assembly
ENSG00000200169.1	RNU5D-1	0.0102059760102885	0.00673235034063109	1.5159603249838884	0.00107248531288735	2.94551558715092e-10	spliceosomal tri-snRNP complex assembly
ENSG00000200972.1	RNU5A-8P	0.00647418063892543	0.00428159922345064	1.5120940333382578	3.07360589664278e-06	3.57337371726119e-22	spliceosomal tri-snRNP complex assembly
ENSG00000202444.1	RNU5E-6P	0.0104005639392475	0.00684763050775265	1.5188558914608992	0.00133880588845854	2.26753602362857e-09	spliceosomal tri-snRNP complex assembly
ENSG00000232679.2	LINC01705	15.6334068975885	14.5641261551529	1.0734188052921583	0.00657237952730054	3.73236930326326e-09	Unknown
ENSG00000273983.2	H3C8	0.10549887498661	0.111502894423223	0.9461536898421308	1.8149937465808e-15	1.50134728120813e-48	nucleosome assembly, gene expression, epigenetic regulation of gene expression
ENSG00000274641.2	H2BC17	0.112033494251742	0.117757562242142	0.9513910794227403	3.49284167416266e-34	4.70590778525228e-103	Unknown
ENSG00000276368.2	H2AC14	0.110053915142544	0.115722758087832	0.9510135859276235	1.63281095417019e-30	1.95143352884411e-91	Unknown
ENSG00000278144.1	NA	14.11795024633	14.3292306879752	0.9852552836753127	0.00569751731420701	2.80583217798067e-18	Unknown
ENSG00000281499.1	RNU5A-8P	0.00647418063892543	0.00428159922345064	1.5120940333382578	3.07360589664278e-06	3.57337371726119e-22	spliceosomal tri-snRNP complex assembly
ENSG00000285321.1	FITM1	0.0629486730491362	0.073027880547756	0.8619813772080024	0.00488776354487158	1.57286497349571e-08	phospholipid biosynthetic process, lipid storage, lipid droplet organization, lipid metabolic process, lipid droplet formation
ENSG00000288411.1	SAA1	16.4296556324436	16.8096736454438	0.9773928976245648	1.11461704984799e-14	4.41624288565852e-53	Unknown
